selection_rank,bank_index,bank_batch_index,bank_batch_member,bank_batch_size,name,replicate,state_idx,basis_layer,certificate,sampling_mode,profile,tau_actual,log10_lambda1,gamma,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
172,171,171,0,1,zero_context,zero_context,1,8,certified,fixed_target_rich,minimal_step,1.1328511238098145,-1.895939588546753,,47,40,12,12,47,12,47,0.0494495185646306,2.631716119877387e-29,1.0,0.02464483603057525,0.026103982701394596,0.04715769810741821,1.913492061741158,0.5535465841003013,0.9867303786109873,0.9938197821932425,,,
172,171,171,0,1,keep_response_svd,keep_response_svd,1,8,certified,fixed_target_rich,minimal_step,1.1328511238098145,-1.895939588546753,,47,40,12,12,47,12,47,0.0494495185646306,2.631716119877387e-29,1.0,0.02464483603057525,0.026103982701394596,0.04011196773135618,1.62760132311661,0.6507779143676535,0.8271741660139136,0.7674166893964804,,,
172,171,171,0,1,keep_krr_oracle,keep_krr_oracle,1,8,certified,fixed_target_rich,minimal_step,1.1328511238098145,-1.895939588546753,,47,40,12,12,47,12,47,0.0494495185646306,2.631716119877387e-29,1.0,0.02464483603057525,0.026103982701394596,0.027575783201757454,1.118927436463605,0.9466270644211818,0.23325011206224341,0.4525536727266626,,,
173,172,172,0,1,base,base,1,8,certified,fixed_target_rich,minimal_smooth,0.9629486203193665,-1.3472610116004944,,47,40,8,8,47,8,47,0.02417371881561465,1.1668496263992266e-28,1.0,0.0080312734349307,0.00865002465059846,0.00865002465059846,1.077042728115395,1.0,0.2040107786175827,0.0,0.15164584008487744,0.15275443584451853,0.0
173,172,172,0,1,keep_Q,keep_Q,1,8,certified,fixed_target_rich,minimal_smooth,0.9629486203193665,-1.3472610116004944,,47,40,8,8,47,8,47,0.02417371881561465,1.1668496263992266e-28,1.0,0.0080312734349307,0.00865002465059846,0.010432399411793497,1.2989720118878654,0.8291500650195468,0.18539203333048188,0.30376849588767735,0.15892626971439847,0.15040755263269007,0.12210162962486569
173,172,172,0,1,remove_Q,remove_Q,1,8,certified,fixed_target_rich,minimal_smooth,0.9629486203193665,-1.3472610116004944,,47,40,8,8,47,8,47,0.02417371881561465,1.1668496263992266e-28,1.0,0.0080312734349307,0.00865002465059846,0.044642029613737,5.558524432697541,0.1937641439119677,0.9606312146115444,0.9140096075735203,0.8664646920603037,0.8657772038149071,0.7493399171140824
173,172,172,0,1,zero_context,zero_context,1,8,certified,fixed_target_rich,minimal_smooth,0.9629486203193665,-1.3472610116004944,,47,40,8,8,47,8,47,0.02417371881561465,1.1668496263992266e-28,1.0,0.0080312734349307,0.00865002465059846,0.050233702540135296,6.254761831623375,0.17219564183403238,0.9631919824377697,0.9632733273437417,,,
173,172,172,0,1,keep_response_svd,keep_response_svd,1,8,certified,fixed_target_rich,minimal_smooth,0.9629486203193665,-1.3472610116004944,,47,40,8,8,47,8,47,0.02417371881561465,1.1668496263992266e-28,1.0,0.0080312734349307,0.00865002465059846,0.021626027586579548,2.692727095123011,0.3999821333792435,0.5884132861626654,0.5391637443468966,,,
173,172,172,0,1,keep_krr_oracle,keep_krr_oracle,1,8,certified,fixed_target_rich,minimal_smooth,0.9629486203193665,-1.3472610116004944,,47,40,8,8,47,8,47,0.02417371881561465,1.1668496263992266e-28,1.0,0.0080312734349307,0.00865002465059846,0.010432399411793497,1.2989720118878654,0.8291500650195468,0.18539203333048188,0.30376849588767735,,,
174,173,173,0,1,base,base,1,8,certified,fixed_target_rich,minimal_step,0.5201348066329956,-1.602750539779663,,47,40,14,14,47,14,47,0.04708643525729442,5.9793416661653124e-30,1.0,0.029635219611119357,0.12341650356447778,0.12341650356447778,4.164521308901351,1.0,0.5738890760216053,0.0,1.785594266071554,1.8635862791348632,0.0
